X_1,Y_1,X_2,Y_2,U1,D1,L1,R1,S1,U2,D2,L2,R2,S2
0,0,0,0,0.0,0.37,0.0,0.4222222222222222,0.20777777777777778,0.0,0.2811111111111111,0.0,0.23833333333333334,0.48055555555555557
1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0,0,0.06777777777777778,0.0,0.09388888888888888,0.0,0.8383333333333334,0.0,0.19111111111111112,0.0,0.11555555555555555,0.6933333333333334
2,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.7038888888888889,0.0,0.2961111111111111,0.0
0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.6338888888888888,0.0,0.3661111111111111,0.0
2,2,0,0,0.07222222222222222,0.0,0.9277777777777778,0.0,0.0,0.0,0.5722222222222222,0.0,0.42777777777777776,0.0
0,0,1,0,0.0,0.023333333333333334,0.0,0.9766666666666667,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,0,0.0,0.7483333333333333,0.04722222222222222,0.044444444444444446,0.16,0.0,0.0044444444444444444,0.4111111111111111,0.39666666666666667,0.18777777777777777
2,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,0,0.105,0.0,0.0,0.0,0.895,0.0,5.555555555555556E-4,0.8316666666666667,0.02277777777777778,0.145
2,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2,1,0,0.3111111111111111,0.0,0.6888888888888889,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
