X_1,Y_1,X_2,Y_2:U_0,D_0,L_0,R_0,U_1,D_1,L_1,R_1
0,0,0,0:0.0,0.48128807658833767,0.0,0.5187119234116623,0.0,0.5213228894691035,0.0,0.47867711053089645
0,1,0,0:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,0,0:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,0:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,4,0,0:0.0,0.0,1.0,0.0,0.0,0.9956483899042646,0.0,0.004351610095735422
1,0,0,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1,0,0:0.5274151436031331,0.0,0.4699738903394256,0.0026109660574412533,0.0,0.5082680591818973,0.0,0.4917319408181027
1,2,0,0:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,0,0:0.0,0.0,1.0,0.0,0.0,0.9730200174064404,0.0,0.026979982593559618
1,4,0,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,0,0,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,1,0,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,2,0,0:0.7789382071366405,0.0,0.22106179286335945,0.0,0.0,0.6553524804177546,0.0,0.34464751958224543
2,3,0,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,4,0,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0,0,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,1,0,0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2,0,0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,3,0,0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,4,0,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,0,1:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,0,1:0.0,0.46736292428198434,0.16013925152306355,0.37249782419495214,0.0,0.206266318537859,0.4177545691906005,0.37597911227154046
0,2,0,1:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,1:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,4,0,1:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0,0,1:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1,0,1:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,2,0,1:0.2523933855526545,0.0,0.7476066144473456,0.0,0.0,0.0,0.731940818102698,0.268059181897302
1,3,0,1:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,4,0,1:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,0,0,1:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,1,0,1:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2,0,1:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,3,0,1:0.0,0.0,1.0,0.0,0.0,0.15230635335073978,0.8476936466492603,0.0
2,4,0,1:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,0,0,1:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,1,0,1:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2,0,1:1.0,0.0,0.0,0.0,0.0,0.15056570931244562,0.8494342906875544,0.0
3,3,0,1:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,4,0,1:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,0,2:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,0,2:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,0,2:0.0,0.46649260226283723,0.2732811140121845,0.26022628372497825,0.0,0.2175805047867711,0.4194952132288947,0.3629242819843342
0,3,0,2:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,4,0,2:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0,0,2:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0,2:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,2,0,2:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,0,2:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,4,0,2:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,0,0,2:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,1,0,2:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,2,0,2:1.0,0.0,0.0,0.0,0.0,0.0,0.6422976501305483,0.3577023498694517
2,3,0,2:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,4,0,2:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,0,0,2:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,1,0,2:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2,0,2:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,0,2:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,4,0,2:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,0,3:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,0,3:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,0,3:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,3:0.0,0.46736292428198434,0.37249782419495214,0.16013925152306355,0.0,0.206266318537859,0.37597911227154046,0.4177545691906005
0,4,0,3:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0,0,3:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0,3:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,2,0,3:0.2523933855526545,0.0,0.0,0.7476066144473456,0.0,0.0,0.268059181897302,0.731940818102698
1,3,0,3:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,4,0,3:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,3:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,1,0,3:0.0,0.0,0.0,1.0,0.0,0.15230635335073978,0.0,0.8476936466492603
2,2,0,3:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,3,0,3:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,4,0,3:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,0,0,3:0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,1,0,3:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2,0,3:1.0,0.0,0.0,0.0,0.0,0.15056570931244562,0.0,0.8494342906875544
3,3,0,3:1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,4,0,3:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,0,4:0.0,0.0,0.0,1.0,0.0,0.9956483899042646,0.004351610095735422,0.0
0,1,0,4:0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,2,0,4:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0,4:0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,4,0,4:0.0,0.48128807658833767,0.5187119234116623,0.0,0.0,0.5213228894691035,0.47867711053089645,0.0
1,0,0,4:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1,0,4:0.0,0.0,0.0,1.0,0.0,0.9730200174064404,0.026979982593559618,0.0
1,2,0,4:0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,0,4:0.5274151436031331,0.0,0.0026109660574412533,0.4699738903394256,0.0,0.5082680591818973,0.4917319408181027,0.0
1,4,0,4:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,0,0,4:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1,0,4:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,2,0,4:0.7789382071366405,0.0,0.0,0.22106179286335945,0.0,0.6553524804177546,0.34464751958224543,0.0
2,3,0,4:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,4,0,4:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,0,0,4:0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1,0,4:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,2,0,4:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,3,0,4:1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,4,0,4:0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0,1,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,1,0:0.0,1.0,0.0,0.0,0.004351610095735422,0.9956483899042646,0.0,0.0
0,2,1,0:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3,1,0:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,4,1,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0,1,0:0.18450826805918188,0.3063533507397737,0.0,0.5091383812010444,0.4299390774586597,0.4142732811140122,0.0,0.15578764142732812
1,1,1,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,2,1,0:0.0,0.0,1.0,0.0,0.0278503046127067,0.9721496953872933,0.0,0.0
1,3,1,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,4,1,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,0,1,0:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,1,1,0:0.8433420365535248,0.0,0.1566579634464752,0.0,0.6109660574412533,0.38903394255874674,0.0,0.0
2,2,1,0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,3,1,0:0.0,0.0,1.0,0.0,0.8476936466492603,0.0,0.0,0.15230635335073978
2,4,1,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0,1,0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,1,1,0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2,1,0:1.0,0.0,0.0,0.0,0.8494342906875544,0.0,0.0,0.15056570931244562
3,3,1,0:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,4,1,0:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,1,1:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,1,1:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,1,1:0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,1,1:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,4,1,1:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0,1,1:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1,1,1:0.18189730200174065,0.299390774586597,0.15230635335073978,0.36640557006092256,0.3063533507397737,0.19843342036553524,0.3237597911227154,0.17145343777197564
1,2,1,1:0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,1,1:0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,4,1,1:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,0,1,1:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,1,1,1:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,2,1,1:0.720626631853786,0.0,0.2793733681462141,0.0,0.3968668407310705,0.02610966057441253,0.5700609225413403,0.006962576153176675
2,3,1,1:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,4,1,1:0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,0,1,1:0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,1,1,1:1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
